	id	rtscts	datarate	packetsize	verbose	rng	thr1	pkl1	thr2	pkl2
172	6756c4f3-d0d1-4c5f-aaf9-5c6f7d0dfd71	True	2	1000	True	65	2.04778 Mbps	0.267023 %	2.05326 Mbps	0 %
173	bd013feb-dc3a-4f99-8b5e-720dcdfc0dea	True	2	1000	True	63	2.05326 Mbps	0 %	2.05052 Mbps	0.133511 %
174	c0471a8c-8e16-41e0-b186-8b9a9283b6f4	False	2	100	True	245	2.12378 Mbps	17.0289 %	2.45282 Mbps	4.17389 %
175	ad384085-037f-4535-951b-b1dd09a6219f	True	15	1500	True	198	11.5069 Mbps	24.6732 %	13.2712 Mbps	13.1235 %
176	09b583d1-3eda-47ba-a62b-a53f7537c92a	False	5	1500	True	316	2.36738 Mbps	53.4828 %	0.749739 Mbps	85.2682 %
177	ba9a8d69-82cd-4a6d-bea5-cd468f3f9b78	True	15	1500	True	196	10.2478 Mbps	32.9154 %	14.3469 Mbps	6.08162 %
178	8e01d445-7f1b-4893-87fe-24268a34cf51	False	2	1500	True	276	0.619349 Mbps	69.5391 %	1.57282 Mbps	22.6453 %
179	59a3db07-8077-4872-b32e-2499a16c8c9d	False	1	1000	True	222	0.98688 Mbps	3.74332 %	0.995104 Mbps	2.94118 %
180	d8ffc417-d841-4d8b-8077-2ce3a58db577	False	10	100	True	327	2.29581 Mbps	82.0635 %	2.10637 Mbps	83.5436 %
181	15a92035-8c33-4a6b-924c-0b782581e7be	True	10	100	True	120	1.90191 Mbps	85.1409 %	2.16917 Mbps	83.0529 %
182	08a398f4-78e7-4f9a-a231-81e42533e206	False	10	100	True	323	2.25655 Mbps	82.3702 %	2.33984 Mbps	81.7195 %
183	b73101ea-6eea-4f1f-8026-2344f1e9cf53	False	2	1500	True	274	0.9168 Mbps	54.9098 %	1.06756 Mbps	47.495 %
184	937076fb-9c8e-4569-9850-f9156b14e75d	True	1	1500	True	37	1.01459 Mbps	0 %	1.01459 Mbps	0 %
185	47d95f9f-e216-4a54-8f89-b75f50a1175e	False	5	100	True	282	2.22959 Mbps	65.1608 %	2.38592 Mbps	62.718 %
186	288d443f-a339-48b3-b0b6-83f39517ed4f	False	10	100	True	321	2.1463 Mbps	83.2316 %	2.42722 Mbps	81.0368 %
187	1f533b32-0cab-4d86-a52d-af23c93a08dd	True	15	100	True	164	2.04971 Mbps	89.3244 %	2.03469 Mbps	89.4027 %
188	04c22157-6c23-40bb-9b46-4b79449e2205	True	5	500	True	95	5.2617 Mbps	0.320085 %	5.26874 Mbps	0.186716 %
